"Story","Title","Result","Date","Stability","Duration (s)"
"Testar Cadastrar Funcionario Duplicado","Cadastrar Funcionario Duplicado","FAILURE","2021-05-17T12:12:55.485-03:00[America/Sao_Paulo]","0.0","21.34"
"Testar Excluir Funcionario Duplicado","Exluir funcionario","FAILURE","2021-05-17T12:13:17.66-03:00[America/Sao_Paulo]","0.0","15.67"
